127.0.0.1 - - [11/Oct/2023:10:03:18 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:19:46 -0700] "-" 400 3130
172.16.5.98 - - [11/Oct/2023:10:19:46 -0700] "-" 400 2836
172.16.5.98 - - [11/Oct/2023:10:19:50 -0700] "-" 400 2116
172.16.5.98 - - [11/Oct/2023:10:19:55 -0700] "-" 400 3106
172.16.5.98 - - [11/Oct/2023:10:19:55 -0700] "-" 400 5748
172.16.5.98 - - [11/Oct/2023:10:19:55 -0700] "-" 400 2190
172.16.5.98 - - [11/Oct/2023:10:19:55 -0700] "-" 400 5630
172.16.5.98 - - [11/Oct/2023:10:19:56 -0700] "-" 400 5618
172.16.5.98 - - [11/Oct/2023:10:19:57 -0700] "-" 400 2338
172.16.5.98 - - [11/Oct/2023:10:19:58 -0700] "GET / HTTP/1.0" 404 751
172.16.5.98 - - [11/Oct/2023:10:21:10 -0700] "-" 400 2022
172.16.5.98 - - [11/Oct/2023:10:21:27 -0700] "-" 400 2208
172.16.5.98 - - [11/Oct/2023:10:21:27 -0700] "-" 400 2196
172.16.5.98 - - [11/Oct/2023:10:21:29 -0700] "-" 400 2202
172.16.5.98 - - [11/Oct/2023:10:21:33 -0700] "-" 400 2178
172.16.5.98 - - [11/Oct/2023:10:21:41 -0700] "-" 400 2184
172.16.5.98 - - [11/Oct/2023:10:21:51 -0700] "t3 12.2.1 " 400 795
172.16.5.98 - - [11/Oct/2023:10:21:57 -0700] "-" 400 2202
172.16.5.98 - - [11/Oct/2023:10:22:02 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:22:03 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:22:03 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:22:03 -0700] "GET /html/nhome.html HTTP/1.1" 404 770
172.16.5.98 - - [11/Oct/2023:10:22:03 -0700] "GET /api/hpe-restapi.json HTTP/1.1" 404 775
172.16.5.98 - - [11/Oct/2023:10:22:40 -0700] "-" 400 2210
172.16.5.98 - - [11/Oct/2023:10:23:27 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:27 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:27 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:28 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:28 -0700] "GET /properties/description.dhtml HTTP/1.1" 404 783
172.16.5.98 - - [11/Oct/2023:10:23:28 -0700] "GET /properties/configuration.php?tab=Status HTTP/1.1" 404 783
172.16.5.98 - - [11/Oct/2023:10:23:28 -0700] "GET /header.php?tab=status HTTP/1.1" 404 761
172.16.5.98 - - [11/Oct/2023:10:23:28 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:28 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:28 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:28 -0700] "GET /aboutprinter.html HTTP/1.1" 404 768
172.16.5.98 - - [11/Oct/2023:10:23:28 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:28 -0700] "GET /properties/configuration.php?tab=Status HTTP/1.1" 404 783
172.16.5.98 - - [11/Oct/2023:10:23:28 -0700] "-" 400 1962
172.16.5.98 - - [11/Oct/2023:10:23:28 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:28 -0700] "HEAD / null" 400 -
172.16.5.98 - - [11/Oct/2023:10:23:28 -0700] "GNUTELLA CONNECT/0.6 " 400 795
172.16.5.98 - - [11/Oct/2023:10:23:28 -0700] "GET /login.php HTTP/1.1" 404 760
172.16.5.98 - - [11/Oct/2023:10:23:29 -0700] "HEAD / HTTP/1.0" 404 -
172.16.5.98 - - [11/Oct/2023:10:23:29 -0700] "GNUTELLA CONNECT/0.4 " 400 795
172.16.5.98 - - [11/Oct/2023:10:23:29 -0700] "GET /this_server/all_settings.shtml HTTP/1.1" 404 785
172.16.5.98 - - [11/Oct/2023:10:23:29 -0700] "HEAD / HTTP/1.1" 404 -
172.16.5.98 - - [11/Oct/2023:10:23:29 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:29 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:29 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:29 -0700] "GET /authenticate/login HTTP/1.1" 404 773
172.16.5.98 - - [11/Oct/2023:10:23:29 -0700] "GET /login.html HTTP/1.1" 404 761
172.16.5.98 - - [11/Oct/2023:10:23:29 -0700] "Secure * null" 400 1857
172.16.5.98 - - [11/Oct/2023:10:23:29 -0700] "GET /Home.do HTTP/1.1" 404 758
172.16.5.98 - - [11/Oct/2023:10:23:29 -0700] "GET /start.js HTTP/1.1" 404 759
172.16.5.98 - - [11/Oct/2023:10:23:29 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:29 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:29 -0700] "GET /tmui/ HTTP/1.1" 404 760
172.16.5.98 - - [11/Oct/2023:10:23:30 -0700] "GET /login HTTP/1.1" 404 756
172.16.5.98 - - [11/Oct/2023:10:23:30 -0700] "GET /check_proxy.html HTTP/1.0" 404 767
172.16.5.98 - - [11/Oct/2023:10:23:30 -0700] "GET /admin_ui/mas/ent/login.html HTTP/1.1" 404 790
172.16.5.98 - - [11/Oct/2023:10:23:30 -0700] "GET / HTTP/1.1" 400 762
172.16.5.98 - - [11/Oct/2023:10:23:30 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:30 -0700] "GET /netmri/config/userAdmin/login.tdf HTTP/1.1" 404 796
172.16.5.98 - - [11/Oct/2023:10:23:30 -0700] "GET // HTTP/1.1" 404 756
172.16.5.98 - - [11/Oct/2023:10:23:30 -0700] "GET /scgi-bin/platform.cgi HTTP/1.1" 404 776
172.16.5.98 - - [11/Oct/2023:10:23:30 -0700] "GET /intruvert/jsp/admin/Login.jsp HTTP/1.1" 404 771
172.16.5.98 - - [11/Oct/2023:10:23:30 -0700] "GET /admin/login.do HTTP/1.1" 404 769
172.16.5.98 - - [11/Oct/2023:10:23:30 -0700] "GET /commoncgi/servlet/CCGIServlet?ApHost=PDT_InterScan_NT&CGIAlias=PDT_InterScan_NT&File=logout.htm HTTP/1.1" 404 788
172.16.5.98 - - [11/Oct/2023:10:23:30 -0700] "GET /en/main.js HTTP/1.1" 404 765
172.16.5.98 - - [11/Oct/2023:10:23:30 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:30 -0700] "GET /mgmt/login?dest=%2Fmgmt%2Fgui%3Fp%3Dhome&reason=&username= HTTP/1.1" 404 765
172.16.5.98 - - [11/Oct/2023:10:23:30 -0700] "GET /xmldata?item=All HTTP/1.1" 404 758
172.16.5.98 - - [11/Oct/2023:10:23:31 -0700] "GET /dms2/Login.jsp HTTP/1.1" 404 748
172.16.5.98 - - [11/Oct/2023:10:23:31 -0700] "GET /upnp/BasicDevice.xml HTTP/1.1" 404 775
172.16.5.98 - - [11/Oct/2023:10:23:31 -0700] "GET /login HTTP/1.1" 404 756
172.16.5.98 - - [11/Oct/2023:10:23:31 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:31 -0700] "GET /home.htm HTTP/1.1" 404 759
172.16.5.98 - - [11/Oct/2023:10:23:31 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:31 -0700] "GET /sws/data/sws_data.js HTTP/1.1" 404 779
172.16.5.98 - - [11/Oct/2023:10:23:31 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:31 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:31 -0700] "GET /robots.txt HTTP/1.1" 404 761
172.16.5.98 - - [11/Oct/2023:10:23:31 -0700] "GET /sitemap.xml HTTP/1.1" 404 762
172.16.5.98 - - [11/Oct/2023:10:23:31 -0700] "GET /.cobalt HTTP/1.1" 404 758
172.16.5.98 - - [11/Oct/2023:10:23:32 -0700] "GET /admin.back HTTP/1.1" 404 761
172.16.5.98 - - [11/Oct/2023:10:23:32 -0700] "GET /file HTTP/1.1" 404 755
172.16.5.98 - - [11/Oct/2023:10:23:32 -0700] "GET /wavemaster.internal HTTP/1.1" 404 770
172.16.5.98 - - [11/Oct/2023:10:23:32 -0700] "some invalid null" 400 1850
172.16.5.98 - - [11/Oct/2023:10:23:32 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:32 -0700] "GET /wcd/system.xml HTTP/1.1" 404 769
172.16.5.98 - - [11/Oct/2023:10:23:32 -0700] "AHIKWM / HTTP/1.1" 501 731
172.16.5.98 - - [11/Oct/2023:10:23:32 -0700] "GET /MSWSMTP/Common/Authentication/Logon.aspx HTTP/1.1" 404 803
172.16.5.98 - - [11/Oct/2023:10:23:32 -0700] "GET /js/Device.js HTTP/1.1" 404 767
172.16.5.98 - - [11/Oct/2023:10:23:33 -0700] "GET /ptz.htm HTTP/1.1" 404 758
172.16.5.98 - - [11/Oct/2023:10:23:33 -0700] "GET /admin/login.jsp HTTP/1.1" 404 749
172.16.5.98 - - [11/Oct/2023:10:23:33 -0700] "GET /loginMsg.js HTTP/1.1" 404 762
172.16.5.98 - - [11/Oct/2023:10:23:41 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:41 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:41 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:41 -0700] "OPTIONS / HTTP/1.1" 200 -
172.16.5.98 - - [11/Oct/2023:10:23:42 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:42 -0700] "GET /FwMowdav_HVz.html HTTP/1.1" 404 768
172.16.5.98 - - [11/Oct/2023:10:23:42 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:42 -0700] "GET /FwMowdav_HVz.cgi HTTP/1.1" 404 767
172.16.5.98 - - [11/Oct/2023:10:23:43 -0700] "GET /FwMowdav_HVz.sh HTTP/1.1" 404 766
172.16.5.98 - - [11/Oct/2023:10:23:43 -0700] "GET /FwMowdav_HVz.pl HTTP/1.1" 404 766
172.16.5.98 - - [11/Oct/2023:10:23:43 -0700] "GET /FwMowdav_HVz.inc HTTP/1.1" 404 767
172.16.5.98 - - [11/Oct/2023:10:23:43 -0700] "GET /FwMowdav_HVz.shtml HTTP/1.1" 404 769
172.16.5.98 - - [11/Oct/2023:10:23:43 -0700] "GET /FwMowdav_HVz.asp HTTP/1.1" 404 767
172.16.5.98 - - [11/Oct/2023:10:23:43 -0700] "GET /FwMowdav_HVz.php HTTP/1.1" 404 767
172.16.5.98 - - [11/Oct/2023:10:23:44 -0700] "GET /FwMowdav_HVz.php3 HTTP/1.1" 404 768
172.16.5.98 - - [11/Oct/2023:10:23:44 -0700] "GET /FwMowdav_HVz.cfm HTTP/1.1" 404 767
172.16.5.98 - - [11/Oct/2023:10:23:44 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:44 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:44 -0700] "GET /cgi-bin/FwMowdav_HVz.html HTTP/1.1" 404 780
172.16.5.98 - - [11/Oct/2023:10:23:44 -0700] "GET /cgi-bin/FwMowdav_HVz.cgi HTTP/1.1" 404 779
172.16.5.98 - - [11/Oct/2023:10:23:44 -0700] "GET /cgi-bin/FwMowdav_HVz.sh HTTP/1.1" 404 778
172.16.5.98 - - [11/Oct/2023:10:23:44 -0700] "GET /cgi-bin/FwMowdav_HVz.pl HTTP/1.1" 404 778
172.16.5.98 - - [11/Oct/2023:10:23:45 -0700] "GET /cgi-bin/FwMowdav_HVz.inc HTTP/1.1" 404 779
172.16.5.98 - - [11/Oct/2023:10:23:45 -0700] "GET /cgi-bin/FwMowdav_HVz.shtml HTTP/1.1" 404 781
172.16.5.98 - - [11/Oct/2023:10:23:45 -0700] "GET /cgi-bin/FwMowdav_HVz.asp HTTP/1.1" 404 779
172.16.5.98 - - [11/Oct/2023:10:23:45 -0700] "GET /cgi-bin/FwMowdav_HVz.php HTTP/1.1" 404 779
172.16.5.98 - - [11/Oct/2023:10:23:45 -0700] "GET /cgi-bin/FwMowdav_HVz.php3 HTTP/1.1" 404 780
172.16.5.98 - - [11/Oct/2023:10:23:45 -0700] "GET /cgi-bin/FwMowdav_HVz.cfm HTTP/1.1" 404 779
172.16.5.98 - - [11/Oct/2023:10:23:45 -0700] "GET /scripts/FwMowdav_HVz.html HTTP/1.1" 404 780
172.16.5.98 - - [11/Oct/2023:10:23:45 -0700] "GET /scripts/FwMowdav_HVz.cgi HTTP/1.1" 404 779
172.16.5.98 - - [11/Oct/2023:10:23:45 -0700] "GET /scripts/FwMowdav_HVz.sh HTTP/1.1" 404 778
172.16.5.98 - - [11/Oct/2023:10:23:45 -0700] "GET /scripts/FwMowdav_HVz.pl HTTP/1.1" 404 778
